代码,简称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),
000509.SZ,*ST华塑,2018-01-08,6.12,6.12,6.12,6.12,--,
000509.SZ,*ST华塑,2018-01-09,6.12,6.12,6.12,6.12,--,
000509.SZ,*ST华塑,2018-01-10,6.12,6.12,6.12,6.12,--,
000509.SZ,*ST华塑,2018-01-11,6.12,6.12,6.12,6.12,--,
000509.SZ,*ST华塑,2018-01-12,6.12,6.12,6.12,6.12,--,
000509.SZ,*ST华塑,2018-01-15,6.12,6.12,6.12,6.12,--,
000509.SZ,*ST华塑,2018-01-16,6.12,6.12,6.12,6.12,--,
000509.SZ,*ST华塑,2018-01-17,6.12,6.12,6.12,6.12,--,
000509.SZ,*ST华塑,2018-01-18,6.12,6.12,6.12,6.12,--,
000509.SZ,*ST华塑,2018-01-19,6.12,6.12,6.12,6.12,--,
000509.SZ,*ST华塑,2018-01-22,6.12,6.12,6.12,6.12,--,
000509.SZ,*ST华塑,2018-01-23,6.12,6.12,6.12,6.12,--,
000509.SZ,*ST华塑,2018-01-24,6.12,6.12,6.12,6.12,--,
000509.SZ,*ST华塑,2018-01-25,6.12,6.12,6.12,6.12,--,
000509.SZ,*ST华塑,2018-01-26,6.12,6.12,6.12,6.12,--,
000509.SZ,*ST华塑,2018-01-29,6.12,6.12,6.12,6.12,--,
000509.SZ,*ST华塑,2018-01-30,6.12,6.12,6.12,6.12,--,
000509.SZ,*ST华塑,2018-01-31,6.12,6.12,6.12,6.12,--,
000509.SZ,*ST华塑,2018-02-01,6.12,6.12,6.12,6.12,--,
000509.SZ,*ST华塑,2018-02-02,6.12,6.12,6.12,6.12,--,
000509.SZ,*ST华塑,2018-02-05,6.12,6.12,6.12,6.12,--,
000509.SZ,*ST华塑,2018-02-06,6.12,6.12,6.12,6.12,--,
000509.SZ,*ST华塑,2018-02-07,6.12,6.12,6.12,6.12,--,
000509.SZ,*ST华塑,2018-02-08,6.12,6.12,6.12,6.12,--,
000509.SZ,*ST华塑,2018-02-09,6.12,6.12,6.12,6.12,--,
000509.SZ,*ST华塑,2018-02-12,6.12,6.12,6.12,6.12,--,
000509.SZ,*ST华塑,2018-02-13,6.12,6.12,6.12,6.12,--,
000509.SZ,*ST华塑,2018-02-14,6.12,6.12,6.12,6.12,--,
000509.SZ,*ST华塑,2018-02-22,6.12,6.12,6.12,6.12,--,
000509.SZ,*ST华塑,2018-02-23,6.12,6.12,6.12,6.12,--,
000509.SZ,*ST华塑,2018-02-26,6.12,6.12,6.12,6.12,--,
000509.SZ,*ST华塑,2018-02-27,6.12,6.12,6.12,6.12,--,
000509.SZ,*ST华塑,2018-02-28,6.12,6.12,6.12,6.12,--,
000509.SZ,*ST华塑,2018-03-01,6.12,6.12,6.12,6.12,--,
000509.SZ,*ST华塑,2018-03-02,6.12,6.12,6.12,6.12,--,
000509.SZ,*ST华塑,2018-03-05,6.12,6.12,6.12,6.12,--,
000509.SZ,*ST华塑,2018-03-06,6.12,6.12,6.12,6.12,--,
000509.SZ,*ST华塑,2018-03-07,6.12,6.12,6.12,6.12,--,
000509.SZ,*ST华塑,2018-03-08,6.12,6.12,6.12,6.12,--,
000509.SZ,*ST华塑,2018-03-09,6.12,6.12,6.12,6.12,--,
000509.SZ,*ST华塑,2018-03-12,6.12,6.12,6.12,6.12,--,
000509.SZ,*ST华塑,2018-03-13,6.12,6.12,6.12,6.12,--,
000509.SZ,*ST华塑,2018-03-14,6.12,6.12,6.12,6.12,--,
000509.SZ,*ST华塑,2018-03-15,5.51,5.51,5.51,5.51,1224100,
000509.SZ,*ST华塑,2018-03-16,4.96,4.96,4.96,4.96,2098900,
000509.SZ,*ST华塑,2018-03-19,4.46,4.46,4.46,4.46,3927900,
000509.SZ,*ST华塑,2018-03-20,4.01,4.58,4.01,4.35,143249600,
000509.SZ,*ST华塑,2018-03-21,4.09,4.34,4.06,4.16,100246311,
000509.SZ,*ST华塑,2018-03-22,4.17,4.23,4.09,4.13,40152725,
000509.SZ,*ST华塑,2018-03-23,4,4.05,3.72,3.8,43970975,
000509.SZ,*ST华塑,2018-03-26,3.72,3.87,3.62,3.84,22164622,
000509.SZ,*ST华塑,2018-03-27,3.83,4.01,3.83,4.01,29812928,
000509.SZ,*ST华塑,2018-03-28,3.94,3.99,3.88,3.91,21140733,
000509.SZ,*ST华塑,2018-03-29,3.93,3.95,3.87,3.9,19925073,
000509.SZ,*ST华塑,2018-03-30,3.92,3.96,3.83,3.85,23142633,
000509.SZ,*ST华塑,2018-04-02,3.9,3.91,3.77,3.8,19897626,
000509.SZ,*ST华塑,2018-04-03,3.82,3.91,3.79,3.85,23224495,
000509.SZ,*ST华塑,2018-04-04,3.89,3.92,3.75,3.76,19161060,
000509.SZ,*ST华塑,2018-04-09,3.73,3.75,3.53,3.62,22230028,
